Neighborhood,Borough,Latitude,Longitude,Cluster label,1st Most Common,2nd Most Common,3rd Most Common,4th Most Common,5th Most Common,6th Most Common,7th Most Common,8th Most Common,9th Most Common,10th Most Common
Don Mills North,North York,43.775347,-79.3459439,2,Clothing Store,Coffee Shop,Japanese Restaurant,Fast Food Restaurant,Shoe Store,Bank,Cosmetics Shop,Restaurant,Sandwich Place,Convenience Store
Don Mills South,North York,43.775347,-79.3459439,2,Clothing Store,Coffee Shop,Japanese Restaurant,Fast Food Restaurant,Shoe Store,Bank,Cosmetics Shop,Restaurant,Sandwich Place,Convenience Store
"Dorset Park, Wexford Heights, Scarborough Town Centre",Scarborough,43.7528467,-79.282067,1,Furniture / Home Store,Beer Store,Wings Joint,Accessories Store,Bowling Alley,Electronics Store,Bakery,Indian Restaurant,Fast Food Restaurant,Chinese Restaurant
Downsview Central,North York,43.7492988,-79.462248,1,Coffee Shop,French Restaurant,Gas Station,Playground,Bus Station,Metro Station,Outdoor Supply Store,Furniture / Home Store,Gym / Fitness Center,Electronics Store
Downsview East,North York,43.7492988,-79.462248,1,Coffee Shop,French Restaurant,Gas Station,Playground,Bus Station,Metro Station,Outdoor Supply Store,Furniture / Home Store,Gym / Fitness Center,Electronics Store
Downsview Northwest,North York,43.7492988,-79.462248,1,Coffee Shop,French Restaurant,Gas Station,Playground,Bus Station,Metro Station,Outdoor Supply Store,Furniture / Home Store,Gym / Fitness Center,Electronics Store
Downsview West,North York,43.7492988,-79.462248,1,Coffee Shop,French Restaurant,Gas Station,Playground,Bus Station,Metro Station,Outdoor Supply Store,Furniture / Home Store,Gym / Fitness Center,Electronics Store
"Dufferin, Dovercourt Village",West Toronto,43.6602019,-79.4357191,0,Bar,Mexican Restaurant,Bakery,Coffee Shop,Fast Food Restaurant,Cocktail Bar,Sandwich Place,Café,Vietnamese Restaurant,Pet Store
"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood",Etobicoke,43.6622732,-79.5765162,1,Park,Yoga Studio,Event Space,Doner Restaurant,Donut Shop,Egyptian Restaurant,Electronics Store,Escape Room,Ethiopian Restaurant,Falafel Restaurant
"Fairview, Henry Farm, Oriole",North York,43.781076,-79.346486,2,Clothing Store,Fast Food Restaurant,Coffee Shop,Bank,Cosmetics Shop,Japanese Restaurant,Mobile Phone Shop,Shoe Store,Baseball Field,Spa
"First Canadian Place, Underground city",Downtown Toronto,43.6487681,-79.38169179283025,5,Coffee Shop,Sandwich Place,Café,Hotel,Asian Restaurant,Bank,Restaurant,Japanese Restaurant,Gym,Deli / Bodega
Forest Hill North & West,Central Toronto,43.701028,-79.4255998,1,Restaurant,Pizza Place,Optical Shop,Intersection,Burger Joint,Sandwich Place,Spa,Korean Restaurant,Middle Eastern Restaurant,Sushi Restaurant
"Garden District, Ryerson",Downtown Toronto,43.6564995,-79.3771141,0,Coffee Shop,Clothing Store,Hotel,Sandwich Place,Café,Restaurant,Thai Restaurant,Falafel Restaurant,Pizza Place,Japanese Restaurant
Glencairn,North York,43.7087117,-79.4406853,1,Playground,Sushi Restaurant,Italian Restaurant,Bakery,Yoga Studio,Escape Room,Doner Restaurant,Donut Shop,Egyptian Restaurant,Electronics Store
"Golden Mile, Clairlea, Oakridge",Scarborough,43.7278414,-79.2876217,1,Pet Store,Clothing Store,Sandwich Place,Burrito Place,Burger Joint,Restaurant,Fast Food Restaurant,Sporting Goods Shop,Women's Store,Shoe Store
"Guildwood, Morningside, West Hill",Scarborough,43.7552251,-79.1982293,1,Train Station,Baseball Field,Storage Facility,Yoga Studio,Event Space,Donut Shop,Egyptian Restaurant,Electronics Store,Escape Room,Ethiopian Restaurant
"Harbourfront East, Union Station, Toronto Islands",Downtown Toronto,43.6400801,-79.3801495,3,Coffee Shop,Boat or Ferry,Café,Hotel,Gym,Italian Restaurant,Steakhouse,Sports Bar,Park,Deli / Bodega
"High Park, The Junction South",West Toronto,43.6538668,-79.4668644,1,Pet Store,Pub,Park,Pharmacy,Pizza Place,Sporting Goods Shop,Mexican Restaurant,Food Truck,Gym,Doctor's Office
Hillcrest Village,North York,43.6816953,-79.4257118,1,Sushi Restaurant,Restaurant,Coffee Shop,Bakery,Italian Restaurant,Café,Mexican Restaurant,Jewish Restaurant,Portuguese Restaurant,Juice Bar
Humber Summit,North York,43.7600778,-79.5717598,1,Bakery,Flower Shop,Construction & Landscaping,Park,Ethiopian Restaurant,Doner Restaurant,Donut Shop,Egyptian Restaurant,Electronics Store,Escape Room
"Humberlea, Emery",North York,43.7213166,-79.5331605,1,Gas Station,Baseball Field,Convenience Store,Yoga Studio,Egyptian Restaurant,Electronics Store,Escape Room,Ethiopian Restaurant,Event Space,Falafel Restaurant
Humewood-Cedarvale,York,43.6883215,-79.4280805,1,Dog Run,Soccer Stadium,Field,Hockey Arena,Convenience Store,Trail,Escape Room,Doner Restaurant,Donut Shop,Egyptian Restaurant
"India Bazaar, The Beaches West",East Toronto,43.6722231,-79.3235032,1,Indian Restaurant,Grocery Store,Restaurant,Café,Brewery,Sandwich Place,Bar,Donut Shop,Egyptian Restaurant,Shopping Plaza
Islington Avenue,Etobicoke,43.651094,-79.534877,1,Intersection,Golf Course,Doctor's Office,Doner Restaurant,Donut Shop,Egyptian Restaurant,Electronics Store,Escape Room,Ethiopian Restaurant,Yoga Studio
"Kennedy Park, Ionview, East Birchmount Park",Scarborough,43.724878,-79.2539688,1,Fast Food Restaurant,Grocery Store,Chinese Restaurant,Asian Restaurant,Ethiopian Restaurant,Doner Restaurant,Donut Shop,Egyptian Restaurant,Electronics Store,Escape Room
"Kensington Market, Chinatown, Grange Park",Downtown Toronto,43.6552136,-79.4022604,0,Café,Coffee Shop,Vegetarian / Vegan Restaurant,Bar,Pizza Place,Sandwich Place,Mexican Restaurant,Breakfast Spot,Vietnamese Restaurant,Nightclub
